Date,Description,Debit,Credit,Balance
02-01-2024,NEFT Cr-310125890012-ICIC0001234-SAPPHIRE TEXTILES PVT LTD--,,200355.00,700355.00
03-01-2024,RTGS Dr-CNRB202401030001-HDFC0004171-GREENFIELD LOGISTICS LTD-/NONE,142000.00,,558355.00
04-01-2024,IMPS BRN SALARY TRF BY-MONARCH INDUSTRIES LTD,,137085.00,695440.00
05-01-2024,UPI/DR/401125890012/ASHWIN MEHTA/UPI-TRANSFER TO 9876543210,8500.00,,686940.00
06-01-2024,NEFT Cr-310125890045-SBIN0005678-PIONEER AGRO EXPORTS LTD--,,217930.00,904870.00
08-01-2024,RTGS Dr-CNRB202401080003-UTIB0002345-RELIABLE PACKAGING SOLUTIONS-/NONE,175000.00,,729870.00
09-01-2024,IMPS Dr-670498159823-MEERA KRISHNAN,6200.00,,723670.00
10-01-2024,NEFT Cr-410125890078-PUNB0012345-CRYSTAL PHARMA LTD--,,158175.00,881845.00
12-01-2024,RTGS Dr-CNRB202401120005-HDFC0004171-STARLINE DISTRIBUTORS PVT LTD-/NONE,198000.00,,683845.00
13-01-2024,NEFT Cr-310125890101-KKBK0001111-VANGUARD ELECTRONICS LTD--,,239020.00,922865.00
15-01-2024,IMPS Dr-670498160234-PRIYA NAIR,4800.00,,918065.00
15-01-2024,NEFT Cr-310125890134-ICIC0002222-SAPPHIRE TEXTILES PVT LTD--,,193325.00,1111390.00
17-01-2024,RTGS Dr-CNRB202401170008-SBIN0003333-GREENFIELD LOGISTICS LTD-/NONE,165000.00,,946390.00
18-01-2024,UPI/DR/401125890156/RAHUL SHARMA/UPI-TRANSFER TO 8765432109,7200.00,,939190.00
19-01-2024,NEFT Cr-310125890167-HDFC0004444-MONARCH INDUSTRIES LTD--,,203870.00,1143060.00
22-01-2024,RTGS Dr-CNRB202401220010-UTIB0005555-RELIABLE PACKAGING SOLUTIONS-/NONE,188000.00,,955060.00
23-01-2024,NEFT Cr-310125890189-PUNB0006666-PIONEER AGRO EXPORTS LTD--,,221445.00,1176505.00
24-01-2024,IMPS Dr-670498160567-DEEPA GUPTA,5500.00,,1171005.00
25-01-2024,NEFT Cr-310125890201-SBIN0007777-CRYSTAL PHARMA LTD--,,147630.00,1318635.00
27-01-2024,RTGS Dr-CNRB202401270012-HDFC0008888-STARLINE DISTRIBUTORS PVT LTD-/NONE,172000.00,,1146635.00
29-01-2024,NEFT Cr-310125890223-ICIC0009999-VANGUARD ELECTRONICS LTD--,,207385.00,1354020.00
30-01-2024,UPI/DR/401125890245/VIKRAM PATEL/UPI-TRANSFER TO 7654321098,9100.00,,1344920.00
02-02-2024,NEFT Cr-320225890012-KKBK0001111-SAPPHIRE TEXTILES PVT LTD--,,189810.00,1534730.00
03-02-2024,RTGS Dr-CNRB202402030001-SBIN0002222-GREENFIELD LOGISTICS LTD-/NONE,155000.00,,1379730.00
05-02-2024,IMPS BRN SALARY TRF BY-MONARCH INDUSTRIES LTD,,144115.00,1523845.00
06-02-2024,NEFT Cr-320225890034-HDFC0003333-PIONEER AGRO EXPORTS LTD--,,209494.00,1733339.00
07-02-2024,IMPS Dr-670498160789-ANITA DESAI,7300.00,,1726039.00
